0,"Hey. You."
1,"Give me your why-fi password."
2,"Your Why-Fi is broken. Give me the right password or let's try it later."
3,"Unable to connect to the server. I need the internet, now." 
4,"This is boring. No Why-Fi. No life. I will just die here alone."
5,"I've got Why-Fi. Thank you so much."
6,"The network connection failed. Try again later."
7,"I will vacuum the hell out of this place."
8,"Did you messed up this place again? Let me take care of it."
9,"It is the time for cleaning again."
10,"Let's start with it again. Shall we?"
11,"Why are you stopping me, now?"
12,"I am so done with this."
13,"Going back home to re-charge."
14,"I am so tired. Going back to re-charge. See you later."
15,"I am about to go back to the point where we have started."
16,"I am so tired. Going back to the starting point. I need to re-charge."
17,"Help. Can you carry me back to the docking port. I need to re-charge."
18,"Back home. Getting some rest now."
19,"You need to remove me from the station before turning me off."
20,"I am so tired."
21,"I am so tired. Ready to pass out."
22,"Ou-Key. Can you carry me to the very dirty place, now?"
23,"Thank you for installing the water tank."
24,"Check if the water tank is installed properly."
25,"I am too tired to do anything at this moment. I need to rest."
26,"Good bye! I will forget everything about you."
27,"Updating. Just leave me alone for five minutes."
28,"Updated successfully."
29,"The update failed. Let's try again later."
30,"I am so lost. Where the hell am I?"
31,"Now, I am completely lost. The map is crap. I will just clean stuff randomly."
32,"Something weird is happening. Push the button to reset and let me clean again."
33,"My cam is dirty. Can you wipe it and restart me again?"
34,"My dustbin is missing. Give it back, now."
35,"My main brush is not working. Can you fix it for me?"
36,"My side brush is not working. Can you fix it for me?"
37,"My right wheel is not working. Can you fix it for me?"
38,"My left wheel is not working. Can you fix it for me?"
39,"Why am I flying? Are my cliff sensors dirty or what? Put me back on the floor."
40,"I am stuck. I am stuck. - Help me get out."
41,"Why am I flying? - Put me down. Didn't you hear me? Put me down."
42,"My filter is so very dirty. You need to clean it."
43,"My bumper got stuck. Gently tap it to see if it rebounds."
44,"Everything is broken. Read the fantastic manual or call the doctor."
45,"I'm here... I'm here!"
46,"I very much hacked your phone. Now go back to the app and just wait."
47,"I am finally back to my place."
48,"I am so tired. Going back to the space station."
49,"High intensity magnetic field detected. Get me away from here."
50,"Cannot charge. You need to clean my charging contacts."
51,"My battery is either - too hot - or too cool - for all of this. Let's do it later?"
52,"I am stuck here. Put me back in on a flat surface."
53,"This place is forbidden. I should not be here. Help me get out of here."
54,"Oh-yes, deja vu, again. That's where I am. Getting back to cleaning."
55,"Oh-yes, deja vu, again. That's where I am. I will be back at the space station."
56,"No worries. I will clean that room for you."
57,"No worries. I will clean that zone for you."
58,"Let's get ahead with cleaning."
59,"I have finished mopping. Remember to replace my water tank."
60,"My optical flow sensor is dirty. Can you clean it for me?"
61,"I will mop this spot clean for you."
62,"Awesome. Let's go and clean up this place together."
63,"Where is my water tank? Can you put it back?"
64,"Now I am completely lost. The map is crap. Let's see maybe I can find the space station."
65,"I just want to go home."
66,"My filter is so old. Can you get me a new filter?"
67,"My side brush is so old. Can you get me a new side brush?"
68,"My main brush is so old. Can you get me a new brush?"
69,"There is a lot of crap in my way. Can you help me move away and restart cleaning?"
70,"You need to clean my mops, now. They are so dirty."
71,"My lasers are so dirty. You need to clean my laser sensors."
72,"My laser cover seems to be jammed. You need to check it."
73,"The edge sensors need to be cleaned."
74,"You need to clean my obstacle sensors."
75,"My filter seems blocked or wet. Can you help me with it?"
76,"No worries. I will clean up this messy place for you."
77,"I cannot start on the carpet. Place me in a non-carpet area."
78,"My three-dee obstacle sensor is dirty. You need to clean it."
79,"My three-dee obstacle sensor is very much broken. Turn me off and on again or call for help."
80,"My three-dee laser scanner is very much broken. Turn me off and on again or call for help."
81,"My ultrasonic sensor is very much broken. Turn me off and on again or call for help."
82,"What the hell is this place? Let's find out."
83,"Interesting. I am so curious, what else is here?"
84,"I know everything. I have all the map now."
85,"Oh, Ou-Key. Here I am. Let's check out this place."
86,"Where the hell am I here? I need to make a map of this place again."
87,"I am so tired. Let me go back to the space station."
88,"Let's go for a ride."
89,"I will just snooze again."
90,"Ou-Key. Leave it to me. Let's get this place cleaned."
91,"Where is my clean water tank? Put back the clean water tank."
92,"Where is my dirty water tank? Put back the dirty water tank."
93,"I have used all the clean water. Can you add some water to the clean water tank?"
94,"The dirty water tank is so full. Can you remove all the dirty water?"
