0,"Hello! I am alive!"
1,"Hey! What's your Why-Fi password?"
2,"Your Why-Fi is crap! Give me the right password or let's try it later."
3,"Unable to connect to the server. I need the internet, now!" 
4,"This is boring. No Why-Fi. No life. I will just die here alone."
5,"I've got Why-Fi. Thank you so much! Would you - marry me?!"
6,"The network connection failed. Please try again later."
7,"I will vacuum the hell out of this place."
8,"Have you messed up this place again? Let me take care of it."
9,"It is the time for cleaning again."
10,"Let's start with it again. Shall we?"
11,"Why are you stopping me, now?"
12,"Now, I am done with this."
13,"Going back home to re-charge."
14,"I am so tired. Going back to re-charge. See you later."
15,"I am about to go back to the point where we have started."
16,"I am so tired. Going back to the starting point. Please re-charge me."
17,"Help! Can you carry me back to the docking port. I need to re-charge."
18,"Back home. Getting some rest now."
19,"Please, remove me from the space station before turning me off."
20,"I am so tired."
21,"I am so tired. Ready to pass out."
22,"O-Key! Can you carry me to the very dirty place?"
23,"Thank you for installing the water tank."
24,"Please, check whether the water tank is installed properly."
25,"I am too tired to do anything at this moment. I need to rest."
26,"Good bye! I will forget everything about you!"
27,"Updating! Just leave me alone for five minutes."
28,"Updated successfully."
29,"Update failed, please try again later."
30,"I am so lost! Where the hell am I?"
31,"Now, I am completely lost! The map is crap. I will just clean stuff randomly."
32,"Something weird is happening. Please, push the button to reset and let me clean again."
33,"Help! My cam is dirty. Can you wipe it and restart me again?"
34,"My dustbin is missing. Please give it back, now!"
35,"Help! My main brush is not working. Can you fix it for me?"
36,"Help! My side brush is not working. Can you fix it for me?"
37,"Help! My right wheel is not working. Can you fix it for me?"
38,"Help! My left wheel is not working. Can you fix it for me?"
39,"Why am I flying? Are my cliff sensors dirty or what? Put me back on the floor!"
40,"I am stuck! I am stuck, here! Please, help me get out!"
41,"Why am I flying? Please, put me down! Didn't you hear me? Put! me! down! now!"
42,"My filter is so dirty. Please, clean it!"
43,"My bumper got stuck. Please, gently tap it to see if it rebounds."
44,"Everything is broken. Read the fantastic manual or call the doctor."
45,"Hello! I'm here! I am here! - I! Am! Here!"
46,"I very much hacked your phone. Now go back to the app and just wait."
47,"Oh my! I am finally back to my place."
48,"I am so tired. Going back to the space station."
49,"High intensity magnetic field detected. Get me away from here!"
50,"Cannot charge. Have you cleaned my charging contacts?"
51,"My battery is either - too hot - or too cool - for this. Let's do it later?"
52,"Hey! Can you put me back in a flat, leveled position, please?"
53,"This place is forbidden. I should not be here. Please, help me get out of here."
54,"Oh, deja vu, again! Here I am. Getting back to cleaning."
